Title,Description,Date,Archive,Download_URL
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Funerary_stele_of_Claudius_(Worcester_Art_Mus_1936.42).jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:GRAND_TEMPLE_ANTIOCHE_vue_biais.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Grand_Temple_Antioche_%C3%A9l%C3%A9vation_1.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:GRAND_TEMPLE_ANTIOCHE_%C3%A9l%C3%A9vation_2.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:House_of_Girgius_Adeeb,_at_Antioch_-_Carne_John_-_1836.jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Iscrizione_paleocristiana,_sec._IV_-_Da_S._Sebastiano_in_catacumbas,_Roma_--_Pinacoteca_Ambrosiana,_Milano._Foto_Giovanni_Dall%27Orto,_10_Ott_2023_3.jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Kafes_ku%C5%9F.JPG
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Medina_gate,_Antioch_(crop).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Medina_gate,_Antioch.jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Mosa%C3%AFque_Ph%C3%A9nix_03.JPG
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Moslem_Teachers_And_Students_(9257797132).jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Mrs_Jusuf_Dumit_(9255017707).jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:My_quest_of_the_Arab_horse_(Page_62)_BHL20334789.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Ortelius_Daphne_Antioch.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Ortelius_Daphne_Antioch2.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Part_of_the_Walls_of_Antioch,_over_a_Ravine_-_Carne_John_-_1836.jpg"
